Date,Event,Time (KST),Location,Member(s)
July 02,[New Music]모르시나요 - Part of PLAYlist Project,6:00 PM,Music Platforms,Chorong
July 06,Club Cabi Pool Party,5:00 PM,?,"Chorong, Bomi, Namjoo & Hayoung"
July 06,The Backpacker Chef 2,7:40 PM,tvN,Bomi
July 06,Blue Spring Youth Summer Night Festival,7:50 PM (For 50mins),Seoul,Eunji
July 06,[Drama] Miss Night & Day "낮과 밤이 다른 그녀" Episode 7,10:30 PM,JTBC & Netflix,Eunji
July 07,[Drama] Miss Night & Day "낮과 밤이 다른 그녀" Episode 8,10:30 PM,JTBC & Netflix,Eunji
July 13,Jeong Eunji Fan Meeting "Eunji's Bookstore" in Japan,1:30 PM & 6:00 PM,Hokutopia Sakura Hall,Eunji
July 13,[Drama] Miss Night & Day "낮과 밤이 다른 그녀" Episode 9,10:30 PM,JTBC & Netflix,Eunji
July 14,[Drama] Miss Night & Day "낮과 밤이 다른 그녀" Episode 10,10:30 PM,JTBC & Netflix,Eunji
July 19,Hayoung's Birthday 💛,All Day,*,*
July 20,One Tone Concert,?,NTSU Arena Taiwan,Apink
July 20,[Drama] Miss Night & Day "낮과 밤이 다른 그녀" Episode 11,10:30 PM,JTBC & Netflix,Eunji
July 21,[Drama] Miss Night & Day "낮과 밤이 다른 그녀" Episode 12,10:30 PM,JTBC & Netflix,Eunji
July 27,Andong Water Festa 2024,Festival Starts- 10:00 AM,Andong,Apink
July 27,[Drama] Miss Night & Day "낮과 밤이 다른 그녀" Episode 13,10:30 PM,JTBC & Netflix,Eunji
July 28,[Drama] Miss Night & Day "낮과 밤이 다른 그녀" Episode 14,10:30 PM,JTBC & Netflix,Eunji
July 31,UTO FEST in Yokohama,6:00 PM,K-Arena Yokohama,"Chorong, Bomi, Namjoo & Hayoung"
