Date,Event,Time (KST),Location,Member(s)
August 01,Kwon Eunbi's Young Street,8:00 PM,SBS power FM,Namjoo
August 02,광구석1열,7:00 PM,@studiojambox Youtube Channel,"Chorong & Hayoung"
August 02,필드마블,11:00 PM,ENA,"Namjoo & Hayoung"
August 03,2024 Summer Art Festival "Breeze Night",8:00 PM,The Westin Josun Seoul,Eunji
August 03,[Drama] Miss Night & Day "낮과 밤이 다른 그녀" Episode 15,10:30 PM,JTBC & Netflix,Eunji
August 04,[Drama] Miss Night & Day "낮과 밤이 다른 그녀" Episode 16,10:30 PM,JTBC & Netflix,Eunji
August 09,필드마블,11:00 PM,ENA,"Namjoo & Hayoung"
August 12,이숙영의 러브FM Special DJ,9:05 AM - 11:00 AM,SBS LoveFM,Namjoo
August 13,이숙영의 러브FM Special DJ,9:05 AM - 11:00 AM,SBS LoveFM,Namjoo
August 14,이숙영의 러브FM Special DJ,9:05 AM - 11:00 AM,SBS LoveFM,Namjoo
August 13,Bomi's Birthday ❤️,All Day,*,*
August 18,Eunji's Birthday 💙,All Day,*,*
