Date,Event,Time (KST),Location,Member(s)
9 March,[Drama] Queen of Tears (눈물의여왕) Episode 1,9:20 PM,tvN,Bomi
10 March,[Drama] Queen of Tears (눈물의여왕) Episode 2,9:20 PM,tvN,Bomi
16 March,[Drama] Queen of Tears (눈물의여왕) Episode 3,9:20 PM,tvN,Bomi
17 March,[Drama] Queen of Tears (눈물의여왕) Episode 4,9:20 PM,tvN,Bomi
18 March,[Comeback] Kim Namjoo's 2nd Single 'BAD',6:00 PM,Music Platforms & Youtube,Namjoo
21 March,이 노래 인기인 가요?,5:30 PM,Mobidic Youtube Channel,"Namjoo & Hayoung"
23 March,[Drama] Queen of Tears (눈물의여왕) Episode 5,9:20 PM,tvN,Bomi
24 March,[Drama] Queen of Tears (눈물의여왕) Episode 6,9:20 PM,tvN,Bomi
30 March,[Drama] Queen of Tears (눈물의여왕) Episode 7,9:20 PM,tvN,Bomi
31 March,[Drama] Queen of Tears (눈물의여왕) Episode 8,9:20 PM,tvN,Bomi
6 April,[Drama] Queen of Tears (눈물의여왕) Episode 9,9:20 PM,tvN,Bomi
7 April,[Drama] Queen of Tears (눈물의여왕) Episode 10,9:20 PM,tvN,Bomi
13 April,[Drama] Queen of Tears (눈물의여왕) Episode 11,9:20 PM,tvN,Bomi
14 April,[Drama] Queen of Tears (눈물의여왕) Episode 12,9:20 PM,tvN,Bomi
20 April,[Drama] Queen of Tears (눈물의여왕) Episode 13,9:20 PM,tvN,Bomi
21 April,[Drama] Queen of Tears (눈물의여왕) Episode 14,9:20 PM,tvN,Bomi
27 April,[Drama] Queen of Tears (눈물의여왕) Episode 15,9:20 PM,tvN,Bomi
28 April,[Drama] Queen of Tears (눈물의여왕) Episode 16,9:20 PM,tvN,Bomi
